tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
875793000521228290,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,"بفرما
شما هی محکوم کنید اینم پرروتر میشه
وجدانتان را قتضی کنید آقای @JZarif 
سستی و خنده در برابر اینها بس است https://t.co/Ig4gBLgyeJ",2017-06-16 19:11,Twitter for Android,,,,false,,,absent,absent,0,0,4,0,[],[],[47813521],
964237812894765062,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,"شادی در قلبهای ما مرده 
همانطور که انسانیت در قلبهایتان مرده
آقای @JZarif با شماستا جیبوتی یادتونه؟ حق این ها بود
#۱۰۵۰_یوم_من_العدوان
#SaveYemenChildren
#1050DaysOfWarOnYemen https://t.co/3ybkyM82uO",2018-02-15 20:39,Twitter for Android,,,,false,,,absent,absent,0,0,88,11,"['۱۰۵۰_یوم_من_العدوان', 'SaveYemenChildren', '1050DaysOfWarOnYemen']",[],[47813521],
1065992504296779776,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,"آقای دکتر ظریف @JZarif 
از اقدام انقلابی و شایسته و ضدصهیونیستی شما در ترک هتل محل کنفرانس گفتگوهای مدیترانه‌ای به هنگام حضور منحوس سخنگوی کنست رژیم صهیونیستی متشکرم
#زندگی_سگی_اسرائیلیها https://t.co/EkcsjjiKY0",2018-11-23 15:36,Twitter for Android,,,,false,,,absent,absent,0,4,131,23,['زندگی_سگی_اسرائیلیها'],[],[47813521],
904797692118880257,xVtM3p9dqzVx1faubCwmTGU9Y2vWCRpAn+AUxkv2FA=,xVtM3p9dqzVx1faubCwmTGU9Y2vWCRpAn+AUxkv2FA=,xVtM3p9dqzVx1faubCwmTGU9Y2vWCRpAn+AUxkv2FA=,Islamic Republic of Iran,"منِ فراموش شدنی... / دانشجوی فیزیک /
#القدس_عاصمه_فلسطین_الأبدیه",https://t.co/uwOnKKjdoo,862,313,2016-04-27,en,fa,"از #وزیر_برند میخام یکبار به عکس های شکنجه ی بچه های خردسال #میانمار نگاه بکنه !
عاطفه ی پدری که داری دیگه ؟
@JZarif",2017-09-04 20:05,Twitter for Android,,,,false,,,absent,absent,1,0,4,1,"['وزیر_برند', 'میانمار']",[],[47813521],
1048108097494036480,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,"گفتگوی امروز مهدی حسن با آقای دکتر ظریف @JZarif به نظرم دیدنیه
مهدی فوق العاده حاضر جواب و حرفه‌ایه
طرفش رو به اون سمتی که دوست داره سوق میده
و البته
دکتر ظریف معروفه به مذاکره
حالا باید ببینیم کی برنده‌ی این گفتگو است",2018-10-05 07:10,Twitter for Android,,,1047939936853381120,false,,,absent,absent,0,2,52,3,[],[],[47813521],
954694640640430080,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,"جناب آقای دکتر ظریف @JZarif
یکبار برای همیشه به میزهای مناظره/مذاکره داخلی هم افتخار بدهید و‌ مارا نسبت به این همه سیاه نمایی که توسط امثال این  @YJebraily میشود روشن نمایید تا سیاهی بماند بر آنکه دغلکار است
با تشکر
خودم",2018-01-20 12:38,Twitter for Android,,,,false,,,absent,absent,0,0,92,12,[],[],"[47813521, 938086662097264640]",
1082363008238669826,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,آقای @JZarif تحویل بگیرید دسته گلتان را,2019-01-07 19:47,Twitter for Android,,,1082359653839892480,false,,,absent,absent,0,0,15,3,[],[],[47813521],
1056959160137498625,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,fa,"عجیبه بی بی سی کور شده چون یک دختر را می بیند در میدان انقلاب و حال آنکه دختران انقلابی راهپیمایی اربعین را نمی بیند.
#دختران_خیابان_انقلاب 
@AlinejadMasih 
#دختران_انقلاب",2018-10-29 17:21,Twitter Web App,,,1056958296375128064,false,,,absent,absent,4,23,256,33,"['دختران_خیابان_انقلاب', 'دختران_انقلاب']",[],[947924373029171200],
981066364462030848,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,"آهای آقای سیاست خارجه @JZarif 
آهای آقای رییس جمهور @Rouhani_ir 
آهای اونایی که نون بیت المال رو میخورید که از ایران اسلامی تو روابط بین الملل دفاع کنید
اگر عرضه ندارید دهان نجس این مردک چموش را ببندید بجویید تا ما مردم کار رو یکسره کنیم https://t.co/Nmt3SI7oRu",2018-04-03 07:10,Twitter for Android,,,981020111472611328,false,,,absent,absent,0,0,10,0,[],['https://twitter.com/AliVaez4/status/981020111472611329'],"[47813521, 1371618385]",
968832453367549952,9awFHt+htU+xsDluiT0ZsDcXrFXfP5osvTIquKf06P8=,9awFHt+htU+xsDluiT0ZsDcXrFXfP5osvTIquKf06P8=,9awFHt+htU+xsDluiT0ZsDcXrFXfP5osvTIquKf06P8=,جمهوری اسلامی ایران,خواستند ما را دفن کنند  غافل از اینکه ما بذر بودیم 🌱,https://t.co/s7HrsRJ4lY,4796,3874,2018-01-01,en-gb,fa,"آقای #روحانی ، آقای #ظریف تحویل بگیرید @JZarif @Rouhani_ir 
این است نتیجه #دیپلماسی_ذلت و #برجام 
کی قرار است عبرت بگیرید https://t.co/KfPpLmsTyW",2018-02-28 12:57,Twitter Web Client,,,968751363147620352,false,,,absent,absent,0,1,13,1,"['روحانی', 'ظریف', 'دیپلماسی_ذلت', 'برجام']",['https://twitter.com/FarsNews_Agency/status/968751363147620352'],"[47813521, 1371618385]",
875724676357656576,2706416816,Sheikh Arsalan,bayusaan_ir,زیر آسمون خدا,‏‏‏‏‏‏‏‏‏‏‏آن دل‌برانِ سرمست، دل‌های ما ربودند,,11976,462,2014-08-04,en,fa,من واقعا آقای #ظریف @JZarif  رو دوست دارم ولی واقعا برام سواله، ایشون غیر از توییت چه اقدامی مقابل تحریم‌های آمریکا انجام داده و میده؟!,2017-06-16 14:40,Twitter for Android,,,,false,,,absent,absent,2,12,61,5,['ظریف'],[],[47813521],
1048839092123967488,3232244922,⁦🇮🇷⁩أخٌ‌في‌الله,akhonfellah,Iran,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏كَانَ لِي فِيمَا مَضَى «أَخٌ فِي اللَّه»ِ وَكَان يُعْظِمُهُ فِي عيْنِي صغَرُ الدُّنْيَا فِي عینه

توییت‌ها=لایک/گوربابای تویییتر",,17998,2195,2015-06-01,en,fa,"آقای ظریف حرفاتون خیلی منطقی و قشنگ بود اما تجربه‌ی برجام به ما نشون داد که هر راستی راست نیست
خدا از سر تقصیرات هممون بگذره
#FATF
@JZarif",2018-10-07 07:35,Twitter for Android,,,,false,,,absent,absent,0,1,93,10,['FATF'],[],[47813521],
1100287829513515008,976368407967911937,آق قلندر....🇮🇷,m_dusttt,,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏چون مذهب قلندر، رندی و عاشقیست،                                    
رندانه ما طریق ‎‎‎#قلندر گرفته‌ایم.",,11882,6385,2018-03-21,fa,fa,"اقای #ظریف، تو هم در بوجود اومدن این وضع مقصری، توی این گرونی تو این بیکاری تو این بدبختی مردم.

#استعفای_ظریف
@JZarif",2019-02-26 06:53,Twitter for Android,,,,false,,,absent,absent,0,7,208,19,"['ظریف', 'استعفای_ظریف']",[],[47813521],
