screen_name,user_id,followers_count
mdubowitz,48252327,35224
SGhasseminejad,1113100093,28524
AlirezaNader,488772327,15891
HeshmatAlavi,2554131522,36278
IranDisinfo,1073301577828655105,4608
FDD_Iran,2485701836,4642
KayhanLondon,2377612094,17100
Tavaana,142772512,122710
taghato,2158821761,12083
IranGateway,866077425226178560,1524
memarsadeghi,46919036,4646
PhoenixprjIran,1068673254955589632,11244
Group_ILSG,1186199172,2732
ashkanyazdchii,815354470066520064,5717
iranfarashgard,1029347598249943040,26468
AlinejadMasih,947924373029171200,111504
amiretemadi,62855930,28073
JZarif,47813521,1206765
